chrom1	start1	end1	chrom2	start2	end2	count
chr21	10400000	10450000	chr21	10400000	10450000	1
chr21	10400000	10450000	chr21	40050000	40100000	1
chr21	10400000	10450000	chr21	40200000	40250000	1
chr21	10400000	10450000	chr21	41100000	41150000	1
chr21	10500000	10550000	chr21	10500000	10550000	1
chr21	10500000	10550000	chr21	10600000	10650000	1
chr21	10600000	10650000	chr21	10500000	10550000	1
chr21	10600000	10650000	chr21	10600000	10650000	1
chr21	10600000	10650000	chr21	18550000	18600000	1
chr21	13250000	13300000	chr21	13250000	13300000	1
chr21	13250000	13300000	chr21	14100000	14150000	1
chr21	13250000	13300000	chr21	14150000	14200000	1
chr21	13250000	13300000	chr21	14200000	14250000	1
chr21	13250000	13300000	chr21	18250000	18300000	1
chr21	14000000	14050000	chr21	14000000	14050000	1
chr21	14000000	14050000	chr21	18200000	18250000	1
chr21	14050000	14100000	chr21	14050000	14100000	1
chr21	14050000	14100000	chr21	18100000	18150000	1
chr21	14100000	14150000	chr21	13250000	13300000	1
chr21	14100000	14150000	chr21	14100000	14150000	1
chr21	14100000	14150000	chr21	14150000	14200000	1
chr21	14100000	14150000	chr21	18250000	18300000	1
chr21	14150000	14200000	chr21	13250000	13300000	1
chr21	14150000	14200000	chr21	14100000	14150000	1
chr21	14150000	14200000	chr21	14150000	14200000	1
chr21	14150000	14200000	chr21	14200000	14250000	1
chr21	14150000	14200000	chr21	18250000	18300000	1
chr21	14200000	14250000	chr21	13250000	13300000	1
chr21	14200000	14250000	chr21	14150000	14200000	1
chr21	14200000	14250000	chr21	14200000	14250000	1
chr21	14200000	14250000	chr21	18250000	18300000	1
chr21	14250000	14300000	chr21	14250000	14300000	1
chr21	14300000	14350000	chr21	14300000	14350000	1
chr21	14300000	14350000	chr21	15300000	15350000	1
chr21	14350000	14400000	chr21	14350000	14400000	1
chr21	14350000	14400000	chr21	14800000	14850000	1
chr21	14350000	14400000	chr21	15150000	15200000	1
chr21	14350000	14400000	chr21	15750000	15800000	1
